Job title ,Hiring Company,Comapny Address,Shift,Links
Marketing Director,Confidential -,"Nasr City, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/bu8p4cIaJQxC-Marketing-Director-Cairo-Egypt?o=38&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Key Account Manager,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/y7AzIv07SFAs-Key-Account-Manager-Cairo-Egypt?o=39&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo,Digital Bridges,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pnRDqUGsNW4N-Medical-Representative---Cairo-Digital-Bridges-Cairo-Egypt?o=40&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist - Alexandria,Khalil Pharmacies,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/g0qrNsBMb5EC-Pharmacist---Alexandria-Khalil-Pharmacies-Alexandria-Egypt?o=41&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist,Yodawy,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/gCNnPn0GHszb-Pharmacist-Yodawy-Giza-Egypt?o=42&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Manager,BIOPHARMA EGYPT s.a.e,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ElMe5MQI8aNA-District-Manager-BIOPHARMA-EGYPT-s-a-e-Giza-Egypt?o=43&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Community Pharmacist,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/iLd0hccjKXl4-Community-Pharmacist-Giza-Egypt?o=44&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Customer Service Representative,Xceed,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ElpjswWfnrtL-Customer-Service-Representative-Xceed-Giza-Egypt?o=45&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Giza,Acadia Pharma,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/kH6kiHiPSMLw-Medical-Representative---Giza-Acadia-Pharma-Giza-Egypt?o=46&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo,Acadia Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/GDp0t2N8ovmQ-Medical-Representative---Cairo-Acadia-Pharma-Cairo-Egypt?o=47&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Public Relations Specialist,Semak,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ACGYenMX09Yc-Public-Relations-Specialist-Semak-Giza-Egypt?o=48&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Field Trainer - Pharmaceutical,Phoenix Marketing Group  ,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Cv5lXjKkpZ1I-Field-Trainer---Pharmaceutical-Phoenix-Marketing-Group-Cairo-Egypt?o=49&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Procurement Manager,Yolo Cosmetics,"New Nozha, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/TVDJHxAvbP1c-Procurement-Manager-Yolo-Cosmetics-Cairo-Egypt?o=50&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
District Sales Manager - Giza,So Value Pharma,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ywDt5cdpTwgg-District-Sales-Manager---Giza-So-Value-Pharma-Cairo-Egypt?o=51&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist,ElBeisy,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/5cUKNjW8oZm5-Pharmacist-ElBeisy-Alexandria-Egypt?o=52&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Business Unit Manager,Macro Group,"Sheraton, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/VIUQ83ctp02z-Business-Unit-Manager-Macro-Group-Cairo-Egypt?o=53&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacist,Confidential -,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/qKJIM7XosoH0-Pharmacist-Giza-Egypt?o=54&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative,Confidential -,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/pDftMfnd5VNb-Medical-Representative-Cairo-Egypt?o=55&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - West Africa,Adamco Pharm,"Niamey, Niger ",Full time,https://wuzzuf.net/jobs/p/6yKPwa263Wqk-Medical-Representative---West-Africa-Adamco-Pharm-Niamey-Niger?o=56&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Business Development Specialist,Perfect Touch Events,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/J71Q5JONwC3U-Business-Development-Specialist-Perfect-Touch-Events-Cairo-Egypt?o=57&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Pharmacy Assistant,Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2UpEyzZCEjWb-Pharmacy-Assistant-Zikry-Pharmacies-Cairo-Egypt?o=58&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Hurghada,Parkville Pharmaceuticals,"Hurghada, Red Sea, Egypt ",Full time,https://wuzzuf.net/jobs/p/8FN5op6QeYoM-Medical-Representative---Hurghada-Parkville-Pharmaceuticals-Red-Sea-Egypt?o=59&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
