Job title ,Hiring Company,Comapny Address,Shift,Links
Brand Manager,Parkville Pharmaceuticals,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/JJUmvnUpunDh-Brand-Manager-Parkville-Pharmaceuticals-Giza-Egypt?o=195&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Doctor,La Parisienne ,"New Cairo, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2OcxyE2erTJ7-Medical-Doctor-La-Parisienne-Cairo-Egypt?o=196&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Product Specialist,Ghalioungui ,"Mokattam, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/CrUHF5wOmpBr-Product-Specialist-Ghalioungui-Cairo-Egypt?o=197&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Operation and Production Engineer,LEAP Media,"Dokki, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/jeqScweL3vaO-Operation-and-Production-Engineer-LEAP-Media-Giza-Egypt?o=198&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative,Bypa-ss,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/JYLSKNMpKbgY-Medical-Sales-Representative-Bypa-ss-Cairo-Egypt?o=199&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Production Supervisor - Cairo,Dabur,"10th of Ramadan City, Sharqia, Egypt ",Full time,https://wuzzuf.net/jobs/p/M8JMTU2YOPeo-Production-Supervisor---Cairo-Dabur-Sharqia-Egypt?o=200&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Purchasing Supervisor (Packaging Material),EVA Cosmetics ,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/HOIgIpp8Nr7n-Purchasing-Supervisor-Packaging-Material-EVA-Cosmetics-Giza-Egypt?o=201&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Health & Safety Associate Manager,Dabur,"10th of Ramadan City, Sharqia, Egypt ",Full time,https://wuzzuf.net/jobs/p/pYuITKIVPxuG-Health-Safety-Associate-Manager-Dabur-Sharqia-Egypt?o=202&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative,Royal Lab,"Helmeya, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/KcXSgqH1C6jt-Medical-Sales-Representative-Royal-Lab-Cairo-Egypt?o=203&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Quality Supervisor,Andalusia Group,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/7fDhM46ZEQe1-Quality-Supervisor-Andalusia-Group-Cairo-Egypt?o=204&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Content Editor/Writer- Alexandria,Caduceus Lane,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/EdRkZ4SLZqK5-Medical-Content-EditorWriter--Alexandria-Caduceus-Lane-Alexandria-Egypt?o=205&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Representative - Cairo,Polypharm,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ozoaYX3Nlvho-Medical-Representative---Cairo-Polypharm-Cairo-Egypt?o=206&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Sales Representative - Sheikh Zayed,Lux MediCard ,"Sheikh Zayed, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/JEIO2OPtCiPC-Sales-Representative---Sheikh-Zayed-Lux-MediCard-Giza-Egypt?o=207&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Giza,Pharaonia Pharma,"Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/AVUkWfWrZnxS-Medical-Sales-Representative---Giza-Pharaonia-Pharma-Giza-Egypt?o=208&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Marketing Manager,Hikma Pharmaceuticals,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/Fz4G1GOF2lcY-Marketing-Manager-Hikma-Pharmaceuticals-Giza-Egypt?o=209&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Medical Sales Representative - Mansoura,Medilab International,"Mansoura, Dakahlia, Egypt ",Full time,https://wuzzuf.net/jobs/p/TBJdyDlKuWif-Medical-Sales-Representative---Mansoura-Medilab-International-Dakahlia-Egypt?o=210&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
Stock Controller,ElBeisy,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/NVp6lvmNRRow-Stock-Controller-ElBeisy-Alexandria-Egypt?o=211&l=sp&t=sj&a=Pharmaceutical |search-v3|navbg
