Job title ,Hiring Company,Comapny Address,Shift,Links
Medical Devices Product Specialist - Assiut,Medical Vision,"Assiut, Egypt ",Full time,https://wuzzuf.net/jobs/p/rt6FC9c8tl4w-Medical-Devices-Product-Specialist---Assiut-Medical-Vision-Assiut-Egypt?o=38&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Digitization Officer,Digital Bridges,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/QuAwWNKfiA2m-Medical-Digitization-Officer-Digital-Bridges-Cairo-Egypt?o=39&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Marketing Manager,Confidential -,"Maadi, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2QYMKr8f3TvT-Marketing-Manager-Cairo-Egypt?o=40&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
District Manager - Upper Egypt,Splendid Pharma,"Sohag, Egypt ",Full time,https://wuzzuf.net/jobs/p/KeR9bGwxBL6m-District-Manager---Upper-Egypt-Splendid-Pharma-Sohag-Egypt?o=41&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales District Manager - Minya,Al Mokhtabar Laboratories,"Minya, Egypt ",Full time,https://wuzzuf.net/jobs/p/AqwbnlvMK6fS-Sales-District-Manager---Minya-Al-Mokhtabar-Laboratories-Minya-Egypt?o=42&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales District Manager,Alborg Lab and Alborg Scan,"Qalubia, Egypt ",Full time,https://wuzzuf.net/jobs/p/x522HdLfXy7m-Sales-District-Manager-Alborg-Lab-and-Alborg-Scan-Qalubia-Egypt?o=43&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Sales District Manager - Cairo,Alborg Lab and Alborg Scan,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/nEFh5QauQjZl-Sales-District-Manager---Cairo-Alborg-Lab-and-Alborg-Scan-Cairo-Egypt?o=44&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacy Branch Manager,ElBeisy,"Alexandria, Egypt ",Full time,https://wuzzuf.net/jobs/p/HxmRWdIJNM6O-Pharmacy-Branch-Manager-ElBeisy-Alexandria-Egypt?o=45&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Product Specialist,Mozn for pharmaceutical and nutriceutical industry,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/6i2bUWqVCDX7-Product-Specialist-Mozn-for-pharmaceutical-and-nutriceutical-industry-Giza-Egypt?o=46&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Cairo,Polypharm,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/ozoaYX3Nlvho-Medical-Representative---Cairo-Polypharm-Cairo-Egypt?o=47&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Customer Service Representative,Xceed,"6th of October, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ElpjswWfnrtL-Customer-Service-Representative-Xceed-Giza-Egypt?o=48&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacy Chain Specialist - OTC,dkt Egypt,"Downtown, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/lizaPyZVWA0w-Pharmacy-Chain-Specialist---OTC-dkt-Egypt-Cairo-Egypt?o=49&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Medical Representative - Mohandsen/Doki,Dulex Lab,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/Xux6vqWxYRhk-Medical-Representative---MohandsenDoki-Dulex-Lab-Cairo-Egypt?o=50&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
Pharmacy Assistant,Zikry-Pharmacies ,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/2UpEyzZCEjWb-Pharmacy-Assistant-Zikry-Pharmacies-Cairo-Egypt?o=51&l=sp&t=sj&a=pharmacist|search-v3|navbg|spbg
