Job title ,Hiring Company,Comapny Address,Shift,Links
Math Supervisor,AlAlson Azhari Language Schools,"Haram, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/oKdJgkW0pCQk-Math-Supervisor-AlAlson-Azhari-Language-Schools-Giza-Egypt?o=37&l=sp&t=sj&a=academic|search-v3|hpb|spbg
AX Functional Team Leader,Allamna Integrated Solutions,"Heliopolis, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/XDnfWf4gqwWj-AX-Functional-Team-Leader-Allamna-Integrated-Solutions-Cairo-Egypt?o=38&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Senior Odoo Developer,Confidential -,"Mohandessin, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/ddnC0CbFDtJm-Senior-Odoo-Developer-Giza-Egypt?o=39&l=sp&t=sj&a=academic|search-v3|hpb|spbg
DKT Talent Summer Internship,dkt Egypt,"Cairo, Egypt ",Internship,https://wuzzuf.net/jobs/p/nRaF54ITdEpU-DKT-Talent-Summer-Internship-dkt-Egypt-Cairo-Egypt?o=40&l=sp&t=sj&a=academic|search-v3|hpb|spbg
"Assistant Lecturer - Civil Engineering, Hydraulics",El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/qcwaqyITDJBF-Assistant-Lecturer---Civil-Engineering-Hydraulics-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=41&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Primary English Teacher / Co-Teacher,AlAlson Azhari Language Schools,"Haram, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/cI9dXvIDpuu7-Primary-English-Teacher-Co-Teacher-AlAlson-Azhari-Language-Schools-Giza-Egypt?o=42&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Junior Lawyer,NGAGE Consulting ,"Zamalek, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/3KyUREQoUChX-Junior-Lawyer-NGAGE-Consulting-Cairo-Egypt?o=43&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer in Accounting,El Sewedy Education - The Knowledge Hub Universities,"Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/1rX2mMjKuow0-Assistant-Lecturer-in-Accounting-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=44&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Primary Math Teacher,AlAlson Azhari Language Schools,"Haram, Giza, Egypt ",Full time,https://wuzzuf.net/jobs/p/QAV6p0vss9q1-Primary-Math-Teacher-AlAlson-Azhari-Language-Schools-Giza-Egypt?o=45&l=sp&t=sj&a=academic|search-v3|hpb|spbg
Assistant Lecturer in Electrical Engineering/Embedded Systems,El Sewedy Education - The Knowledge Hub Universities,"New Capital, Cairo, Egypt ",Full time,https://wuzzuf.net/jobs/p/y9OLGyRTAJIf-Assistant-Lecturer-in-Electrical-EngineeringEmbedded-Systems-El-Sewedy-Education---The-Knowledge-Hub-Universities-Cairo-Egypt?o=46&l=sp&t=sj&a=academic|search-v3|hpb|spbg
